% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
-1.1671671671671673       4.383401167444936E-6
-1.1631631631631631       4.412141786135714E-6
-1.159159159159159        4.440908801118042E-6
-1.155155155155155        4.469701702732058E-6
-1.1511511511511512       4.498519993913508E-6
-1.1471471471471473       4.522963106517149E-6
-1.1431431431431431       4.550562195232563E-6
-1.139139139139139        4.5782065924487655E-6
-1.135135135135135        4.605895482346551E-6
-1.1311311311311312       4.633628067309317E-6
-1.1271271271271273       4.6614035674580355E-6
-1.1231231231231231       4.6892212201986574E-6
-1.119119119119119        4.717080279782158E-6
-1.115115115115115        4.744980016876306E-6
-1.1111111111111112       4.7729197181493025E-6
-1.1071071071071072       4.800898685864827E-6
-1.103103103103103        4.82891623748811E-6
-1.099099099099099        4.856971705302732E-6
-1.095095095095095        4.8850644360380125E-6
-1.0910910910910911       4.919584162955032E-6
-1.0870870870870872       4.9506283295332405E-6
-1.083083083083083        4.981730318734975E-6
-1.079079079079079        5.012889054295683E-6
-1.075075075075075        5.044103484604547E-6
-1.0710710710710711       5.0753725820642496E-6
-1.0670670670670672       5.106695342468277E-6
-1.063063063063063        5.138070784394917E-6
-1.059059059059059        5.169497948618004E-6
-1.055055055055055        5.200975897533734E-6
-1.0510510510510511       5.232503714603123E-6
-1.0470470470470472       5.2640805038099425E-6
-1.043043043043043        5.295705389133381E-6
-1.039039039039039        5.327377514035266E-6
-1.035035035035035        5.359096040961404E-6
-1.031031031031031        5.390860150856795E-6
-1.027027027027027        5.422669042693913E-6
-1.023023023023023        5.454521933014336E-6
-1.019019019019019        5.486418055482577E-6
-1.015015015015015        5.536498313687723E-6
-1.011011011011011        5.597733929706864E-6
-1.007007007007007        5.594259340717966E-6
-1.003003003003003        5.633900074703962E-6
-0.9989989989989988       5.67362733936316E-6
-0.9949949949949951       5.713439329674259E-6
-0.9909909909909911       5.7533342867809946E-6
-0.986986986986987        5.793310496660084E-6
-0.982982982982983        5.833366288829662E-6
-0.9789789789789789       5.873500035096491E-6
-0.974974974974975        5.913710148340273E-6
-0.970970970970971        5.9539950813355745E-6
-0.9669669669669669       5.994353325608532E-6
-0.962962962962963        6.034783410328949E-6
-0.9589589589589589       6.07528390123533E-6
-0.954954954954955        6.115853399593404E-6
-0.950950950950951        6.156490541185583E-6
-0.9469469469469468       6.197193995331909E-6
-0.942942942942943        6.233171779178222E-6
-0.9389389389389388       6.2776401802132095E-6
-0.934934934934935        6.322216453045492E-6
-0.9309309309309308       6.366898331961977E-6
-0.9269269269269269       6.411683609113105E-6
-0.922922922922923        6.456570132868395E-6
-0.9189189189189189       6.501555806218621E-6
-0.914914914914915        6.546638585224552E-6
-0.9109109109109107       6.591816477510221E-6
-0.906906906906907        6.637087540800457E-6
-0.902902902902903        6.689253774194684E-6
-0.8988988988988987       6.732104289415211E-6
-0.8948948948948949       6.77506984632886E-6
-0.8908908908908908       6.818148270079933E-6
-0.8868868868868869       6.861337434789326E-6
-0.882882882882883        6.904635262371001E-6
-0.8788788788788788       6.964955476362521E-6
-0.874874874874875        7.0115867648806735E-6
-0.8708708708708708       7.058397061125257E-6
-0.8668668668668668       7.1053828271858156E-6
-0.8628628628628631       7.152540605026022E-6
-0.8588588588588588       7.1998670147120695E-6
-0.8548548548548549       7.247358752666022E-6
-0.8508508508508508       7.2950125899456245E-6
-0.8468468468468469       7.342825370550393E-6
-0.8428428428428429       7.390794009756049E-6
-0.8388388388388389       7.438915492476462E-6
-0.834834834834835        7.487186871654882E-6
-0.8308308308308308       7.5687595755483605E-6
-0.8268268268268267       7.627071262923054E-6
-0.8228228228228229       7.685504915407506E-6
-0.8188188188188188       7.744057772098172E-6
-0.8148148148148149       7.802727149415839E-6
-0.8108108108108107       7.843597186530645E-6
-0.8068068068068068       7.907347648644815E-6
-0.8028028028028027       7.946048519029841E-6
-0.7987987987987988       8.006140203979268E-6
-0.7947947947947949       8.066450049996462E-6
-0.7907907907907907       8.126973200197026E-6
-0.7867867867867868       8.187704924377288E-6
-0.7827827827827827       8.248640615576736E-6
-0.7787787787787788       8.30977578671836E-6
-0.7747747747747749       8.371106067326929E-6
-0.7707707707707707       8.432627200325125E-6
-0.7667667667667668       8.494335038907201E-6
-0.7627627627627627       8.556225543489912E-6
-0.7587587587587588       8.618294778739578E-6
-0.754754754754755        8.680532049936872E-6
-0.7507507507507507       8.74379496587184E-6
-0.7467467467467467       8.807407198853677E-6
-0.7427427427427427       8.871361234535716E-6
-0.7387387387387387       8.935649733892678E-6
-0.7347347347347348       9.000265529749552E-6
-0.7307307307307308       9.065201623304929E-6
-0.7267267267267267       9.130451180655378E-6
-0.7227227227227226       9.196007529329429E-6
-0.7187187187187187       9.261864154835248E-6
-0.7147147147147148       9.327268306690752E-6
-0.7107107107107108       9.404496221181794E-6
-0.7067067067067068       9.470833680258478E-6
-0.7027027027027026       9.545139961242693E-6
-0.6986986986986986       9.619842861289473E-6
-0.6946946946946948       9.694933212131429E-6
-0.6906906906906907       9.770402080522107E-6
-0.6866866866866868       9.846240762750564E-6
-0.6826826826826826       9.922440779194754E-6
-0.6786786786786787       9.998993868924959E-6
-0.6746746746746746       1.0075891984363903E-5
-0.6706706706706707       1.0153127286010693E-5
-0.6666666666666667       1.0215669414677688E-5
-0.6626626626626626       1.030156785119166E-5
-0.6586586586586587       1.0366716854234657E-5
-0.6546546546546547       1.044764382453331E-5
-0.6506506506506506       1.052910323281607E-5
-0.6466466466466467       1.061108281679293E-5
-0.6426426426426426       1.0693570613080125E-5
-0.6386386386386387       1.0776554951540567E-5
-0.6346346346346345       1.0860024449547461E-5
-0.6306306306306306       1.0943968006190269E-5
-0.6266266266266268       1.1028374796442734E-5
-0.6226226226226226       1.1113234265310047E-5
-0.6186186186186187       1.1183260189476545E-5
-0.6146146146146145       1.127793392250925E-5
-0.6106106106106106       1.1373196017775792E-5
-0.6066066066066068       1.1444529950072259E-5
-0.6026026026026026       1.1532921695957862E-5
-0.5985985985985987       1.1622005687071844E-5
-0.5945945945945945       1.1711766127010995E-5
-0.5905905905905907       1.1802187581779702E-5
-0.5865865865865867       1.1893254974794146E-5
-0.5825825825825826       1.198495358162291E-5
-0.5785785785785786       1.2077269024497496E-5
-0.5745745745745745       1.2170187266626385E-5
-0.5705705705705706       1.2263694606343605E-5
-0.5665665665665667       1.2347823186439082E-5
-0.5625625625625625       1.245218670180142E-5
-0.5585585585585586       1.2557360196908785E-5
-0.5545545545545545       1.2634288047304423E-5
-0.5505505505505506       1.2730059707702316E-5
-0.5465465465465464       1.2826736481829456E-5
-0.5425425425425425       1.292429805831428E-5
-0.5385385385385386       1.3022724551307291E-5
-0.5345345345345345       1.3121996497923674E-5
-0.5305305305305306       1.3222094855091729E-5
-0.5265265265265264       1.3323000995863827E-5
-0.5225225225225226       1.3424696705242864E-5
-0.5185185185185186       1.3509782749735543E-5
-0.5145145145145145       1.3623974136270507E-5
-0.5105105105105106       1.373927016121699E-5
-0.5065065065065064       1.3855643248744396E-5
-0.5025025025025025       1.3926729704111009E-5
-0.49849849849849864      1.4030111388458019E-5
-0.4944944944944945       1.4134654857471359E-5
-0.4904904904904905       1.4240334523924045E-5
-0.48648648648648646      1.4347125280446036E-5
-0.4824824824824825       1.4455002501504175E-5
-0.47847847847847863      1.456394204431936E-5
-0.47447447447447444      1.467392024880269E-5
-0.47047047047047047      1.4784913936586671E-5
-0.4664664664664664       1.4882834672263125E-5
-0.4624624624624625       1.5008701118407613E-5
-0.45845845845845856      1.5136022528032236E-5
-0.45445445445445437      1.519830071037595E-5
-0.4504504504504505       1.5308447470977985E-5
-0.44644644644644643      1.542013517421008E-5
-0.44244244244244246      1.553333058106558E-5
-0.43843843843843855      1.5648000972039892E-5
-0.4344344344344344       1.576411415943793E-5
-0.4304304304304305       1.5881638497748325E-5
-0.42642642642642636      1.600054289219805E-5
-0.42242242242242245      1.6120796805602295E-5
-0.41841841841841837      1.6242370263619195E-5
-0.4144144144144144       1.6346520552842306E-5
-0.4104104104104105       1.6390654843219174E-5
-0.40640640640640635      1.6508085529391548E-5
-0.40240240240240244      1.662758847819683E-5
-0.3983983983983983       1.6749119333660878E-5
-0.39439439439439444      1.6872634275789728E-5
-0.3903903903903905       1.69903139852317E-5
-0.38638638638638634      1.709584857463526E-5
-0.3823823823823824       1.7203205333169092E-5
-0.3783783783783783       1.7312350362146433E-5
-0.3743743743743744       1.7423250054638548E-5
-0.37037037037037046      1.7535871120347397E-5
-0.3663663663663663       1.7709946305633107E-5
-0.3623623623623624       1.7837394085815337E-5
-0.35835835835835833      1.794277735118915E-5
-0.35435435435435436      1.805072294792774E-5
-0.35035035035035045      1.8161185186495215E-5
-0.3463463463463463       1.8274118429635258E-5
-0.34234234234234234      1.8389477152690494E-5
-0.33833833833833826      1.8507216000391578E-5
-0.33433433433433435      1.8627289840119085E-5
-0.3303303303303305       1.8749653811665164E-5
-0.3263263263263263       1.8878956900819485E-5
-0.3223223223223224       1.8976635064298518E-5
-0.31831831831831825      1.9076717640471427E-5
-0.31431431431431434      1.9179166988561397E-5
-0.3103103103103102       1.9283945386930583E-5
-0.3063063063063063       1.939825219385819E-5
-0.3023023023023024       1.952386763364674E-5
-0.29829829829829824      1.9652598609354774E-5
-0.2942942942942943       1.9784384305539756E-5
-0.2902902902902902       1.985920464934867E-5
-0.2862862862862862       1.9961199711067664E-5
-0.28228228228228236      2.006643110928802E-5
-0.2782782782782782       2.0174848202173334E-5
-0.2742742742742743       2.028639991363495E-5
-0.2702702702702702       2.0401034823983422E-5
-0.26626626626626626      2.0518701257172637E-5
-0.2622622622622623       2.063934736446551E-5
-0.2582582582582582       2.0644074134156287E-5
-0.2542542542542543       2.0852190344347742E-5
-0.25025025025025016      2.0925091042832318E-5
-0.24624624624624625      2.1035231250853906E-5
-0.24224224224224233      2.112780551240173E-5
-0.2382382382382382       2.1224227601520322E-5
-0.2342342342342343       2.132444532246265E-5
-0.23023023023023012      2.142840542034217E-5
-0.2262262262262262       2.153605369896479E-5
-0.22222222222222232      2.1647335136435067E-5
-0.21821821821821819      2.175767863116551E-5
-0.21421421421421427      2.1832600373921934E-5
-0.21021021021021014      2.1911385353987866E-5
-0.20620620620620622      2.1993992055736785E-5
-0.2022022022022023       2.2080377585946158E-5
-0.19819819819819817      2.2170497772972387E-5
-0.19419419419419426      2.2264307266072177E-5
-0.19019019019019012      2.2361759634430725E-5
-0.1861861861861862       2.2462807465482135E-5
-0.18218218218218207      2.257129528286118E-5
-0.17817817817817816      2.262950992488312E-5
-0.17417417417417425      2.269230179817103E-5
-0.17017017017017014      2.275963301819197E-5
-0.1661661661661662       2.2831463424644635E-5
-0.16216216216216206      2.2907750694112497E-5
-0.15815815815815815      2.298845045628236E-5
-0.15415415415415423      2.3073516413041582E-5
-0.1501501501501501       2.3162900459775398E-5
-0.14614614614614618      2.325655280820091E-5
-0.14214214214214205      2.3302515165138408E-5
-0.13813813813813813      2.3352624486489914E-5
-0.13413413413413422      2.340730705453021E-5
-0.13013013013013008      2.3466530899041318E-5
-0.12612612612612617      2.3530261729925835E-5
-0.12212212212212202      2.359846303203904E-5
-0.11811811811811812      2.367109616436816E-5
-0.11411411411411422      2.3630326291102287E-5
-0.11011011011011008      2.3689881972098063E-5
-0.10610610610610616      2.3832525215486592E-5
-0.10210210210210202      2.3859294955009337E-5
-0.0980980980980981       2.389242902118965E-5
-0.0940940940940942       2.3940271982246445E-5
-0.09009009009009006      2.3993401203582843E-5
-0.08608608608608614      2.4051781653945248E-5
-0.08208208208208201      2.4115375195564188E-5
-0.0780780780780781       2.4184140704135362E-5
-0.07407407407407418      2.4210456444102184E-5
-0.07007007007007006      2.42167018856149E-5
-0.06606606606606612      2.422816457676025E-5
-0.06206206206206199      2.4244837117565388E-5
-0.05805805805805808      2.4266708769687595E-5
-0.054054054054053946     2.42937654908672E-5
-0.05005005005005003      2.432598997974238E-5
-0.04604604604604612      2.4363361730694396E-5
-0.04204204204204198      2.442749858297912E-5
-0.03803803803803807      2.433964571743546E-5
-0.03403403403403393      2.447772448416905E-5
-0.030030030030030012     2.4452181969582258E-5
-0.026026026026026106     2.4454571514789375E-5
-0.022022022022021966     2.446227826088073E-5
-0.018018018018018053     2.44752971850393E-5
-0.01401401401401392      2.4493619816630865E-5
-0.010010010010010005     2.4517234264690975E-5
-0.006006006006006092     2.4546125256346387E-5
-0.002002002002001957     2.4580274185882876E-5
0.002002002002002179      2.456847889547688E-5
0.006006006006006093      2.4539635776271544E-5
0.010010010010010005      2.451587736493754E-5
0.014014014014013922      2.4497218455556612E-5
0.018018018018017834      2.4483670707062855E-5
0.022022022022022192      2.4475242606979996E-5
0.026026026026026106      2.4471939444906836E-5
0.030030030030030012      2.4375068986305264E-5
0.03403403403403393       2.4390892366877558E-5
0.03803803803803785       2.4454386494375925E-5
0.042042042042042205      2.4399032010441828E-5
0.046046046046046125      2.4355581247663363E-5
